price,bedrooms,sqft_lot,floors,waterfront,view,condition,yr_built,yr_renovated,zipcode,lat,long,nearest_station_distance_km,density,commute_time,distance_to_point_km,is_near_shore,grade_living,bathroom_category_+3 Bathrooms,bathroom_category_1-2 Bathrooms,bathroom_category_2-3 Bathrooms,bathroom_category_Studio or 1 Bathroom
221900.0,3,5650,1.0,0,0,3,1955,0,98178,47.5112,-122.257,8620.002287411395,5364.0,32.9,0.5957631279369822,0,8260,0,0,0,1
538000.0,3,7242,2.0,0,0,3,1951,1991,98125,47.721,-122.319,2078.181042048624,7999.0,28.9,3.038595600521312,0,17990,0,0,1,0
180000.0,2,10000,1.0,0,0,3,1933,0,98028,47.7379,-122.233,8109.552186239611,3833.0,33.1,2.3176693333392127,0,4620,0,0,0,1
604000.0,4,5000,1.0,0,0,5,1965,0,98136,47.5208,-122.393,8918.31863879774,7517.0,30.6,0.1016676616321493,1,13720,0,0,1,0
510000.0,3,8080,1.0,0,0,3,1987,0,98074,47.6168,-122.045,19789.80040063432,2896.0,32.7,1.750655938264267,0,13440,0,1,0,0
1225000.0,4,101930,1.0,0,0,3,2001,0,98053,47.6561,-122.005,22454.048888924182,827.0,32.5,5.628604101051111,0,59620,1,0,0,0
257500.0,3,6819,2.0,0,0,3,1995,0,98003,47.3097,-122.327,29990.522231697392,4392.0,32.4,3.594630905042143,0,12005,0,0,1,0
291850.0,3,9711,1.0,0,0,3,1963,0,98198,47.4095,-122.315,18874.71223068568,5039.0,30.1,1.3082050506364808,0,7420,0,1,0,0
229500.0,3,7470,1.0,0,0,3,1960,0,98146,47.5123,-122.337,7680.708951444539,6034.0,29.8,3.3909216082983,0,12460,0,0,0,1
323000.0,3,6560,2.0,0,0,3,2003,0,98038,47.3684,-122.031,31587.886351768764,572.0,38.8,3.0083871519813146,0,13230,0,0,1,0
662500.0,3,9796,1.0,0,0,3,1965,0,98007,47.6007,-122.145,12774.9869045593,6617.0,22.7,2.542573792207075,0,28480,0,0,1,0
468000.0,2,6000,1.0,0,0,4,1942,0,98115,47.69,-122.292,2289.121864314304,8197.0,26.8,1.6314243850794992,0,8120,0,0,0,1
310000.0,3,19901,1.5,0,0,4,1927,0,98028,47.7558,-122.229,9453.309329793388,3833.0,33.1,1.917774225495218,0,10010,0,0,0,1
400000.0,3,9680,1.0,0,0,4,1977,0,98074,47.6127,-122.045,19880.23840944816,2896.0,32.7,1.811252097954496,0,9590,0,1,0,0
530000.0,5,4850,1.5,0,0,3,1900,0,98107,47.67,-122.394,5904.901945719374,12484.0,30.0,0.2750769393588803,1,12670,0,1,0,0
650000.0,4,5000,2.0,0,3,3,1979,0,98126,47.5714,-122.375,4246.51268290662,7113.0,30.5,1.3563763001588092,0,26550,0,0,1,0
395000.0,3,14040,2.0,0,0,3,1994,0,98019,47.7277,-121.962,27076.78308766492,317.0,35.1,13.23373544118612,0,13230,0,1,0,0
485000.0,4,4300,1.5,0,0,4,1916,0,98103,47.6648,-122.343,2209.4567039268613,11391.0,27.1,0.7619388005459727,0,11200,0,0,0,1
189000.0,2,9850,1.0,0,0,4,1921,0,98002,47.3089,-122.21,31024.04456443988,5015.0,29.5,7.189420172568547,0,8400,0,0,0,1
