price,bedrooms,bathrooms,sqft_lot,floors,waterfront,view,condition,yr_built,yr_renovated,zipcode,lat,long,nearest_station_distance_km,bathroom_category,density,commute_time,grade_living
221900.0,3,1.0,5650,1.0,0,0,3,1955,0,98178,47.5112,-122.257,8620.002287411395,Studio or 1 Bathroom,5364.0,32.9,8260
538000.0,3,2.25,7242,2.0,0,0,3,1951,1991,98125,47.721,-122.319,2078.181042048624,2-3 Bathrooms,7999.0,28.9,17990
180000.0,2,1.0,10000,1.0,0,0,3,1933,0,98028,47.7379,-122.233,8109.552186239611,Studio or 1 Bathroom,3833.0,33.1,4620
604000.0,4,3.0,5000,1.0,0,0,5,1965,0,98136,47.5208,-122.393,8918.31863879774,2-3 Bathrooms,7517.0,30.6,13720
510000.0,3,2.0,8080,1.0,0,0,3,1987,0,98074,47.6168,-122.045,19789.80040063432,1-2 Bathrooms,2896.0,32.7,13440
1225000.0,4,4.5,101930,1.0,0,0,3,2001,0,98053,47.6561,-122.005,22454.048888924182,+3 Bathrooms,827.0,32.5,59620
257500.0,3,2.25,6819,2.0,0,0,3,1995,0,98003,47.3097,-122.327,29990.522231697392,2-3 Bathrooms,4392.0,32.4,12005
291850.0,3,1.5,9711,1.0,0,0,3,1963,0,98198,47.4095,-122.315,18874.71223068568,1-2 Bathrooms,5039.0,30.1,7420
229500.0,3,1.0,7470,1.0,0,0,3,1960,0,98146,47.5123,-122.337,7680.708951444539,Studio or 1 Bathroom,6034.0,29.8,12460
323000.0,3,2.5,6560,2.0,0,0,3,2003,0,98038,47.3684,-122.031,31587.886351768764,2-3 Bathrooms,572.0,38.8,13230
662500.0,3,2.5,9796,1.0,0,0,3,1965,0,98007,47.6007,-122.145,12774.9869045593,2-3 Bathrooms,6617.0,22.7,28480
468000.0,2,1.0,6000,1.0,0,0,4,1942,0,98115,47.69,-122.292,2289.121864314304,Studio or 1 Bathroom,8197.0,26.8,8120
310000.0,3,1.0,19901,1.5,0,0,4,1927,0,98028,47.7558,-122.229,9453.309329793388,Studio or 1 Bathroom,3833.0,33.1,10010
400000.0,3,1.75,9680,1.0,0,0,4,1977,0,98074,47.6127,-122.045,19880.238409448157,1-2 Bathrooms,2896.0,32.7,9590
530000.0,5,2.0,4850,1.5,0,0,3,1900,0,98107,47.67,-122.394,5904.901945719374,1-2 Bathrooms,12484.0,30.0,12670
650000.0,4,3.0,5000,2.0,0,3,3,1979,0,98126,47.5714,-122.375,4246.51268290662,2-3 Bathrooms,7113.0,30.5,26550
395000.0,3,2.0,14040,2.0,0,0,3,1994,0,98019,47.7277,-121.962,27076.78308766492,1-2 Bathrooms,317.0,35.1,13230
485000.0,4,1.0,4300,1.5,0,0,4,1916,0,98103,47.6648,-122.343,2209.4567039268613,Studio or 1 Bathroom,11391.0,27.1,11200
189000.0,2,1.0,9850,1.0,0,0,4,1921,0,98002,47.3089,-122.21,31024.04456443988,Studio or 1 Bathroom,5015.0,29.5,8400
230000.0,3,1.0,9774,1.0,0,0,4,1969,0,98003,47.3343,-122.306,27237.41039915039,Studio or 1 Bathroom,4392.0,32.4,8750
385000.0,4,1.75,4980,1.0,0,0,4,1947,0,98133,47.7025,-122.341,948.965027860306,1-2 Bathrooms,7038.0,30.4,11340
2000000.0,3,2.75,44867,1.0,0,4,3,1968,0,98040,47.5316,-122.233,7956.150022912061,2-3 Bathrooms,3997.0,26.9,27450
285000.0,5,2.5,6300,2.0,0,0,3,1995,0,98092,47.3266,-122.169,30084.97742129913,2-3 Bathrooms,1185.0,34.2,18160
252700.0,2,1.5,9643,1.0,0,0,3,1985,0,98030,47.3533,-122.166,27422.908825488943,1-2 Bathrooms,5499.0,30.7,7490
329000.0,3,2.25,6500,2.0,0,0,4,1985,0,98030,47.3739,-122.172,25147.648268006407,2-3 Bathrooms,5499.0,30.7,19600
233000.0,3,2.0,4697,1.5,0,0,5,1941,0,98002,47.3048,-122.218,31324.078121164566,1-2 Bathrooms,5015.0,29.5,10260
937000.0,3,1.75,2691,2.0,0,0,3,1915,0,98119,47.6386,-122.36,3443.154427011736,1-2 Bathrooms,10846.0,25.5,19600
667000.0,3,1.0,1581,1.5,0,0,5,1909,0,98112,47.6221,-122.314,559.0502100517712,Studio or 1 Bathroom,7621.0,25.4,11200
438000.0,3,1.75,6380,1.0,0,0,3,1948,0,98115,47.695,-122.304,1982.9546429825095,1-2 Bathrooms,8197.0,26.8,10640
719000.0,4,2.5,7173,2.0,0,0,3,2005,0,98052,47.7073,-122.11,15813.71184166537,2-3 Bathrooms,3741.0,25.0,20560
580500.0,3,2.5,3980,2.0,0,0,3,2003,0,98027,47.5391,-122.07,18741.706200902525,2-3 Bathrooms,487.0,29.3,18560
280000.0,2,1.5,1265,3.0,0,0,3,2005,0,98133,47.7274,-122.357,3435.623784742731,1-2 Bathrooms,7038.0,30.4,8330
687500.0,4,1.75,5000,1.5,0,0,4,1929,0,98117,47.6823,-122.368,3724.337790933515,1-2 Bathrooms,9392.0,30.0,16310
535000.0,3,1.0,3000,1.5,0,0,4,1929,0,98117,47.6889,-122.375,3815.762200043457,Studio or 1 Bathroom,9392.0,30.0,8720
322500.0,4,2.75,6659,1.0,0,0,3,1981,0,98058,47.4276,-122.157,20503.906928227127,2-3 Bathrooms,2252.0,34.9,14420
696000.0,3,2.5,3060,1.5,0,0,3,1930,2002,98115,47.6827,-122.31,753.9704241406612,2-3 Bathrooms,8197.0,26.8,18400
550000.0,4,1.0,34848,1.0,0,0,1,1933,0,98052,47.6621,-122.132,12973.438975052974,Studio or 1 Bathroom,3741.0,25.0,8300
640000.0,4,2.0,6000,2.0,0,0,4,1904,0,98107,47.6702,-122.362,3523.308314785452,1-2 Bathrooms,12484.0,30.0,18880
240000.0,4,1.0,8075,1.0,0,0,2,1969,0,98001,47.3341,-122.282,27348.914187382758,Studio or 1 Bathroom,1895.0,31.6,8540
605000.0,4,2.5,7553,2.0,0,0,3,1996,0,98056,47.5301,-122.18,11329.76371024872,2-3 Bathrooms,4879.0,29.6,20960
625000.0,4,2.5,5520,2.0,0,0,3,2000,0,98074,47.6145,-122.027,21166.95190484881,2-3 Bathrooms,2896.0,32.7,23130
775000.0,4,2.25,24186,1.0,0,0,3,1984,0,98166,47.445,-122.347,15159.227412603392,2-3 Bathrooms,3913.0,28.5,33760
861990.0,5,2.75,5639,2.0,0,0,3,2014,0,98053,47.6848,-122.016,21957.553349768616,2-3 Bathrooms,827.0,32.5,32355
685000.0,3,1.0,2280,2.0,0,0,3,1922,0,98119,47.6413,-122.364,3855.6425289211866,Studio or 1 Bathroom,10846.0,25.5,10990
309000.0,3,1.0,9656,1.0,0,0,4,1959,0,98058,47.4485,-122.175,17821.49100012876,Studio or 1 Bathroom,2252.0,34.9,7680
488000.0,3,2.5,13603,2.0,0,0,3,2003,0,98019,47.7443,-121.977,26502.252703285056,2-3 Bathrooms,317.0,35.1,25280
210490.0,3,1.0,8528,1.0,0,0,3,1966,0,98023,47.3066,-122.371,30639.841393349303,Studio or 1 Bathroom,5049.0,34.9,5940
